date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:33	754/754	---M-Z	200	added ('OK')	application/javascript	etag:%222f2-5d27cee4796c0-gzip%22	https://newdetox.com.br/wp-content/plugins/wpforms/assets/js/integrations/elementor/frontend.min.js?ver=1.7.1.1	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/wpforms/assets/js/integrations/elementor/frontend.mind7e2.js	(from https://newdetox.com.br/)
12:50:33	7890/7890	---M-Z	200	added ('OK')	application/javascript	etag:%221ed2-5d22c992fe480-gzip%22	https://newdetox.com.br/wp-content/plugins/wp-rocket/assets/js/lazyload/16.1/lazyload.min.js	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/wp-rocket/assets/js/lazyload/16.1/lazyload.min.js	(from https://newdetox.com.br/)
12:50:34	209496/209496	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233258-5d7be695b6868%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.eot	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:34	92216/92216	---M--	200	added ('OK')	font/woff2	etag:%2216838-5d7be695b6868%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.woff2	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:35	112952/112952	---M--	200	added ('OK')	font/woff	etag:%221b938-5d7be695b6868%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.woff	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:36	209336/209336	---M--	200	added ('OK')	font/ttf	etag:%22331b8-5d7be695b6868%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.ttf	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:37	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202022%2015:50:37%20GMT	http://134.209.44.60/wp-content/uploads/2021/11/bg-4-1.png	C:/Meus%20Sites/NewDetox/134.209.44.60/wp-content/uploads/2021/11/bg-4-1.40.delayed	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:37	315628/315628	---M--	200	added ('OK')	image/svg+xml	etag:%224d0ec-5d7be695b6868%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.svg	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:38	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:39	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:39	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%2212bdc-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:39	90060/90060	---M--	200	added ('OK')	font/woff	etag:%2215fcc-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:40	134040/134040	---M--	200	added ('OK')	font/ttf	etag:%2220b98-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:40	2322717/2322717	---M--	200	added ('OK')	image/png	etag:%2223711d-5d207b1043400%22	https://newdetox.com.br/wp-content/uploads/2021/11/bg-4-1.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/bg-4-1.png	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:40	41435/41435	---M-Z	200	added ('OK')	text/css	etag:%22a1db-5d206715b5140-gzip%22	https://newdetox.com.br/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.7.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/themes/astra/assets/css/minified/main.min3430.css	(from https://newdetox.com.br/?rsd)
12:50:40	88870/88870	---M-Z	200	added ('OK')	text/css	etag:%2215b26-5dfd0b75a2eb1-gzip%22	https://newdetox.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/css/dist/block-library/style.minf049.css	(from https://newdetox.com.br/?rsd)
12:50:40	30753/30753	---M-Z	200	added ('OK')	text/css	etag:%227821-5d7be697a2b9d-gzip%22	https://newdetox.com.br/wp-content/plugins/smartfunnel/assets/jquery-ui-1.12.0.custom/jquery-ui.min.css?ver=6.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/smartfunnel/assets/jquery-ui-1.12.0.custom/jquery-ui.minf049.css	(from https://newdetox.com.br/?rsd)
12:50:41	747545/747545	---M--	200	added ('OK')	image/svg+xml	etag:%22b6819-5d7be695b87a8%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css)
12:50:41	229865/229865	---M-Z	200	added ('OK')	text/css	etag:%22381e9-5d31f15382040-gzip%22	https://newdetox.com.br/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.5.2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/jet-elements/assets/css/jet-elements16b9.css	(from https://newdetox.com.br/?rsd)
12:50:41	17382/17382	---M-Z	200	added ('OK')	text/css	etag:%2243e6-5d31f15382040-gzip%22	https://newdetox.com.br/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.5.2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/jet-elements/assets/css/jet-elements-skin16b9.css	(from https://newdetox.com.br/?rsd)
12:50:41	19050/19050	---M-Z	200	added ('OK')	text/css	etag:%224a6a-5d7be695b6868-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from https://newdetox.com.br/?rsd)
12:50:42	13805/13805	---M-Z	200	added ('OK')	text/css	etag:%2235ed-5d7be695b4927-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/css/frontend-legacy.mina25a.css	(from https://newdetox.com.br/?rsd)
12:50:42	137254/137254	---M-Z	200	added ('OK')	text/css	etag:%2221826-5d7be695b3987-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/css/frontend.mina25a.css	(from https://newdetox.com.br/?rsd)
12:50:42	947/947	---M-Z	200	added ('OK')	text/css	etag:%223b3-5d7be6c59a9e1-gzip%22	https://newdetox.com.br/wp-content/uploads/elementor/css/post-30.css?ver=1644587745	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/elementor/css/post-30c0d6.css	(from https://newdetox.com.br/?rsd)
12:50:42	210961/210961	---M-Z	200	added ('OK')	text/css	etag:%2233811-5d2065ae2c100-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.8	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min6173.css	(from https://newdetox.com.br/?rsd)
12:50:42	99489/99489	---M-Z	200	added ('OK')	text/css	etag:%22184a1-5d7be6c6ded84-gzip%22	https://newdetox.com.br/wp-content/uploads/elementor/css/global.css?ver=1644587746	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/elementor/css/global5e54.css	(from https://newdetox.com.br/?rsd)
12:50:43	145356/145356	---M-Z	200	added ('OK')	text/css	etag:%22237cc-5df0d9351d466-gzip%22	https://newdetox.com.br/wp-content/uploads/elementor/css/post-28.css?ver=1652624282	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/elementor/css/post-281e72.css	(from https://newdetox.com.br/?rsd)
12:50:43	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-5d7be695b9748-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://newdetox.com.br/?rsd)
12:50:43	675/675	---M-Z	200	added ('OK')	text/css	etag:%222a3-5d7be695b9748-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://newdetox.com.br/?rsd)
